"Question No.","Marks","Question"
"84","10","A shopkeeper gives a discount of 15% on an item marked ₹1000. What is the selling price?"
"85","10","What is the LCM of 24 and 36?"
"86","10","A company’s sales increase by 5% each month. If the sales in the first month were ₹20000, what will be the sales in the 6th month?"
"87","10","A sum of ₹15000 is invested at 7% compound interest for 2 years. What is the total amount at the end of 2 years?"
"88","10","What is the compound interest on ₹8000 for 3 years at 12% per annum compounded quarterly?"
"89","10","The cost of 8 pens is ₹120. What is the cost of 15 pens?"
"90","10","Find the average of the first 20 even numbers."
"91","10","A man invests ₹1000 at 10% compound interest for 2 years. What is the total amount?"
"92","10","What is the probability of drawing a face card from a deck of 52 cards?"
"93","10","A man bought 20 articles for ₹2400 and sold each article for ₹150. What is his profit?"
"94","10","If the sum of the cubes of two numbers is 216, and the sum of the numbers is 12, what are the numbers?"
"95","10","The length of a rectangle is 4 cm greater than its width. If the perimeter is 32 cm, what are the dimensions of the rectangle?"
"96","10","A sum of ₹5000 is invested at 8% compound interest. How much interest will be earned in 2 years?"
"97","10","In a class of 60 students, 20% of the students are absent. How many students are present?"
"98","10","Find the mode of the following data: 12, 15, 15, 20, 20, 20, 25."
"99","10","A person earns ₹6000 a month, and he spends 80% of his income on living expenses. How much does he spend?"
"100","10","Find the solution of the equation: 3x - 7 = 2x + 10."
