"Question No.","Marks","Question"
"46","10","Write a program to find the N-th Fibonacci number using dynamic programming."
"47","10","Write a program to implement a binary tree with operations like insertion, deletion, and traversal (pre-order, in-order, post-order)."
"48","10","Write a program to perform depth-first search (DFS) on a graph."
"49","10","Write a program to perform breadth-first search (BFS) on a graph."
"50","10","Write a program to implement Dijkstra’s algorithm for the shortest path in a graph."
"51","10","Write a program to implement Bellman-Ford algorithm for the shortest path in a graph."
"52","10","Write a program to implement Kruskal’s algorithm for minimum spanning tree."
"53","10","Write a program to implement Prim’s algorithm for minimum spanning tree."
"54","10","Write a program to find the longest common subsequence (LCS) between two strings using dynamic programming."
"55","10","Write a program to find the longest increasing subsequence in an array using dynamic programming."
"56","10","Write a program to solve the 0/1 knapsack problem using dynamic programming."
"57","10","Write a program to implement the heap sort algorithm."
"58","10","Write a program to implement the radix sort algorithm."
"59","10","Write a program to find the median of two sorted arrays."
"60","10","Write a program to find the majority element in an array using Boyer-Moore Voting Algorithm."
"61","10","Write a program to implement a binary search tree (BST) with operations like insertion, deletion, and traversal (pre-order, in-order, post-order)."
"62","10","Write a program to check if a binary tree is balanced."
"63","10","Write a program to convert an infix expression to postfix expression."
"64","10","Write a program to evaluate a postfix expression."
"65","10","Write a program to implement a trie data structure and perform operations like insert, search, and delete."
"66","10","Write a program to implement a priority queue using a heap."
"67","10","Write a program to implement a disjoint-set data structure (union-find)."
"68","10","Write a program to find all permutations of a given string."
"69","10","Write a program to solve the N-Queens problem using backtracking."
"70","10","Write a program to solve the Sudoku puzzle using backtracking."
"71","10","Write a program to generate all subsets of a set."
"72","10","Write a program to find the shortest path between two nodes in an unweighted graph using BFS."
"73","10","Write a program to find the minimum number of coins required to make a given amount using dynamic programming."
"74","10","Write a program to solve the traveling salesman problem using dynamic programming."
"75","10","Write a program to implement matrix chain multiplication using dynamic programming."
"76","10","Write a program to find the longest palindromic substring in a given string."
"77","10","Write a program to find the kth smallest element in an array."
"78","10","Write a program to find the kth largest element in an array."
"79","10","Write a program to implement an AVL tree with operations like insertion, deletion, and balancing."
"80","10","Write a program to implement a skip list data structure."
"81","10","Write a program to find all anagrams in a given list of strings."
"82","10","Write a program to solve the coin change problem using dynamic programming."
"83","10","Write a program to find the number of islands in a given 2D grid."
"84","10","Write a program to implement an LRU cache."
"85","10","Write a program to find the maximum subarray sum using Kadane’s algorithm."
"86","10","Write a program to implement a bloom filter."
"87","10","Write a program to find the maximum profit that can be made by buying and selling a stock at most once."
"88","10","Write a program to check if a given number is a perfect number."
"89","10","Write a program to solve the subset sum problem using dynamic programming."
"90","10","Write a program to find the number of ways to climb stairs with 1-step or 2-steps at a time."
"91","10","Write a program to implement an efficient string matching algorithm (Knuth-Morris-Pratt algorithm)."
"92","10","Write a program to find the total number of set bits in a number."
"93","10","Write a program to find the intersection of two linked lists."
"94","10","Write a program to merge two sorted linked lists."
"95","10","Write a program to flatten a multi-level doubly linked list."
"96","10","Write a program to find the longest subsequence of alternating numbers in an array."
"97","10","Write a program to find the largest rectangle in a histogram."
"98","10","Write a program to perform matrix exponentiation."
"99","10","Write a program to perform quick select algorithm to find the kth smallest element in an unordered array."
"100","10","Write a program to check if a given string is a valid number (integer or float)."
"101","10","Write a program to implement Radix sort."
"102","10","Write a program to calculate the power of a number using recursion."
"103","10","Write a program to calculate the GCD of two numbers using the iterative method."
"104","10","Write a program to merge two sorted linked lists."
"105","10","Write a program to implement breadth-first search (BFS) on a graph."
"106","10","Write a program to solve the knapsack problem using dynamic programming."
"107","10","Write a program to implement a doubly linked list."
"108","10","Write a program to detect a cycle in a graph."
"109","10","Write a program to count the number of set bits in an integer using recursion."
"110","10","Write a program to implement quicksort on an array."
"111","10","Write a program to find the transpose of a matrix using recursion."
"112","10","Write a program to implement a stack using linked list."
"113","10","Write a program to implement a queue using linked list."
"114","10","Write a program to find the shortest path between two points in a grid."
"115","10","Write a program to solve the N-Queens problem using backtracking."
"116","10","Write a program to check if a string contains only digits."
"117","10","Write a program to reverse a sentence without using any built-in functions."
"118","10","Write a program to find all prime numbers in a range using the sieve of Eratosthenes."
"119","10","Write a program to check if a number is an Armstrong number."
"120","10","Write a program to check if two strings are anagrams."
"121","10","Write a program to implement depth-first search (DFS) on a graph."
"122","10","Write a program to implement Bellman-Ford algorithm for the shortest path."
"123","10","Write a program to find the largest palindrome in a given string."
"124","10","Write a program to check if a number is a perfect square."
"125","10","Write a program to find the intersection of two sorted arrays."
"126","10","Write a program to implement a disjoint-set (union-find) data structure."
"127","10","Write a program to find the median of two sorted arrays."
"128","10","Write a program to implement the Floyd-Warshall algorithm for all-pairs shortest paths."
"129","10","Write a program to find the longest common subsequence (LCS) between two strings."
"130","10","Write a program to implement topological sorting of a directed acyclic graph (DAG)."
"131","10","Write a program to find the largest sum of a contiguous subarray."
"132","10","Write a program to solve the coin change problem using recursion."
"133","10","Write a program to solve the longest common substring problem."
"134","10","Write a program to solve the subset sum problem."
"135","10","Write a program to implement the A* search algorithm."
"136","10","Write a program to count all unique characters in a string."
"137","10","Write a program to solve the traveling salesman problem."
"138","10","Write a program to find the number of triangles that can be formed with a set of given points."
"139","10","Write a program to find the maximum sum of non-adjacent elements in an array."
"140","10","Write a program to reverse a linked list."
"141","10","Write a program to implement the merge sort algorithm."
"142","10","Write a program to implement the heap sort algorithm."
"143","10","Write a program to find the nth Fibonacci number using memoization."
"144","10","Write a program to find all subsets of a given set."
"145","10","Write a program to solve the subset sum problem using dynamic programming."
"146","10","Write a program to find the longest increasing subsequence."
"147","10","Write a program to find the longest palindromic substring."
"148","10","Write a program to calculate the power of a number using dynamic programming."
"149","10","Write a program to find the kth largest element in an unsorted array."
"150","10","Write a program to implement the merge sort algorithm."
